Permit_no,Status,Project_Description,Site_Address,Submitted,Approved,Closed,year_submitted,Address_Clean
BLD06-157,FINALED,"Foundation only for triplex with an attached ADU. Parking will be in basement level, with two units per floor above. See SDP06-056 for utilities and access. See LUP02-064 for SEPA review on the property. FOUNDATION ONLY PERMIT COMPLETION PERMIT IDENTIFIED AS BLD06-157R-1","411, 415, 423, 429 MONROE ST",8/8/06,9/13/06,3/18/09,2006,429 MONROE ST
BLD06-157R-1,FINALED,"Construction of a triplex with an attached ADU. Parking will be in basement level, with two units per floor above. See SDP06-056 for utilities and access. See LUP02-064 for SEPA review on the property. FOUNDATION ONLY PERMIT IS BLD06-157","411, 415, 423, 429 MONROE ST",8/8/06,9/13/06,3/18/09,2006,429 MONROE ST
BLD06-157R-2,FINALED,"Revised foundation plans. Construction of a triplex with an attached ADU. Parking will be in basement level, with two units per floor above. See SDP06-056 for utilities and access. See LUP02-064 for SEPA review on the property. FOUNDATION ONLY PERMIT IS BLD06-157","411, 415, 423, 429 MONROE ST",12/19/06,12/19/06,3/18/09,2006,429 MONROE ST
BLD08-100,FINALED,Complete construction of ADU started under BLD01-181,477 N ST & 479,5/6/08,5/30/08,12/12/08,2008,477 N ST
BLD10-131,FINALED,BUILD ADU WITHIN EXISTING SFR at 331 McKinley,1419 CLALLUM STREET (ADU),6/25/10,7/8/10,4/6/11,2010,1419 CLALLUM STREET
BLD10-221,APPROVED,CONVERT STUDIO TO ADU,616 LAWRENCE ST - ADU TO 612 LAWRENCE ST,11/17/10,1/3/11,NA,2010,616 LAWRENCE ST
BLD10-233,FINALED,"COD10-117, verify that only ADU, provide address and NTT. Also pave apron through MIP",618 CHERRY ST (ADU 624 CHERRY),12/7/10,7/7/11,11/17/11,2010,618 CHERRY ST
BLD13-143,FINALED,"PERMIT EXISTING ADU (ADDRESS, INSPECTION)",269 HENDRICKS ST. (ADU FOR 1405 3RD),8/28/13,5/30/14,5/30/14,2013,269 HENDRICKS ST
BLD13-178,FINALED,BUILD GARAGE WITH ADU ABOVE,925 FRANKLIN (ADU FOR 922 JEFFERSON),12/9/13,1/6/14,3/21/16,2013,925 FRANKLIN
BLD14-233,FINALED,NEW MODULAR SFR (1231); ORIGINAL SFR MOVED TO REAR TO BE ADU,1231 & 1255 31ST ST,12/23/14,1/8/15,3/31/15,2014,1255 31ST ST
BLD15-015,FINALED,USE EXISTING GARAGE FOR ADU,922 55TH ST (FOR ADU),1/23/15,6/1/15,6/2/15,2015,922 55TH ST
BLD15-111,EXPIRED,MAKE EXISTING ADU LEGAL as 736 Oak,736 OAK ST - ADU EAST OF 738 OAK ST,6/19/15,7/22/15,NA,2015,736 OAK ST
BLD16-024,FINALED,FOUNDATION FOR MANUFACTURED HOME AS ADU,5410 WILSON ST (ADU),1/26/16,2/12/16,9/6/16,2016,5410 WILSON ST
